sim_time,cmd_speed,pos_x,pos_y,pos_z,qx,qy,qz,qw,p0,p1,p2,p3,v0,v1,v2,v3
21.004,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,905.0364959918548,905.0364959918548,-905.0364959918548,-905.0364959918548,454.4764325501124,454.4764325501124,-454.4764325501124,-454.4764325501124
21.023,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,914.4672587727852,914.4672587727852,-914.4672587727852,-914.4672587727852,482.59541006522306,482.59541006522306,-482.59541006522306,-482.59541006522306
21.043,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,924.2446999951161,924.2446999951161,-924.2446999951161,-924.2446999951161,492.93980379979433,492.93980379979433,-492.93980379979433,-492.93980379979433
21.063,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,934.1496770887359,934.1496770887359,-934.1496770887359,-934.1496770887359,496.7452935861258,496.7452935861258,-496.7452935861258,-496.7452935861258
21.083,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,944.1015720074147,944.1015720074147,-944.1015720074147,-944.1015720074147,498.145255042105,498.145255042105,-498.145255042105,-498.145255042105
21.103,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,954.070727029357,954.070727029357,-954.070727029357,-954.070727029357,498.66027208019216,498.66027208019216,-498.66027208019216,-498.66027208019216
21.123,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,964.0462316884426,964.0462316884426,-964.0462316884426,-964.0462316884426,498.8497362603574,498.8497362603574,-498.8497362603574,-498.8497362603574
21.143,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,974.0240722484921,974.0240722484921,-974.0240722484921,-974.0240722484921,498.9194362370787,498.9194362370787,-498.9194362370787,-498.9194362370787
21.163,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,984.002772138483,984.002772138483,-984.002772138483,-984.002772138483,498.94507742556453,498.94507742556453,-498.94507742556453,-498.94507742556453
21.183,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,993.9817881582924,993.9817881582924,-993.9817881582924,-993.9817881582924,498.9545102916557,498.9545102916557,-498.9545102916557,-498.9545102916557
