theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
28.00000000,-48.00000000,36.30014861,1.29643388,0.00000000
29.00000000,-48.00000000,36.38657802,1.25470959,0.00000000
30.00000000,-48.00000000,36.51004996,1.21700167,0.00000000
31.00000000,-48.00000000,36.67380086,1.18302583,0.00000000
32.00000000,-48.00000000,36.88115735,1.15253617,0.00000000
33.00000000,-48.00000000,37.13548553,1.12531774,0.00000000
34.00000000,-48.00000000,37.44012480,1.10118014,0.00000000
35.00000000,-48.00000000,37.79830480,1.07995157,0.00000000
36.00000000,-48.00000000,38.21304482,1.06147347,0.00000000
37.00000000,-48.00000000,38.68703642,1.04559558,0.00000000
38.00000000,-48.00000000,39.22251187,1.03217137,0.00000000
39.00000000,-48.00000000,39.82110352,1.02105394,0.00000000
40.00000000,-48.00000000,40.48370184,1.01209255,0.00000000
0.00000000,-47.00000000,41.02643338,inf,0.00000000
1.00000000,-47.00000000,40.81474635,40.81474635,0.00000000
2.00000000,-47.00000000,40.60312171,20.30156085,0.00000000
3.00000000,-47.00000000,40.39182409,13.46394136,0.00000000
4.00000000,-47.00000000,40.18114101,10.04528525,0.00000000
5.00000000,-47.00000000,39.97138602,7.99427720,0.00000000
6.00000000,-47.00000000,39.76290209,6.62715035,0.00000000
7.00000000,-47.00000000,39.55606537,5.65086648,0.00000000
8.00000000,-47.00000000,39.35128921,4.91891115,0.00000000
9.00000000,-47.00000000,39.14902860,4.34989207,0.00000000
10.00000000,-47.00000000,38.94978506,3.89497851,0.00000000
11.00000000,-47.00000000,38.75411188,3.52310108,0.00000000
12.00000000,-47.00000000,38.56261995,3.21355166,0.00000000
13.00000000,-47.00000000,38.37598406,2.95199877,0.00000000
14.00000000,-47.00000000,38.19494975,2.72821070,0.00000000
15.00000000,-47.00000000,38.02034077,2.53468938,0.00000000
16.00000000,-47.00000000,37.85306716,2.36581670,0.00000000
17.00000000,-47.00000000,37.69413384,2.21730199,0.00000000
18.00000000,-47.00000000,37.54464994,2.08581389,0.00000000
19.00000000,-47.00000000,37.40583859,1.96872835,0.00000000
20.00000000,-47.00000000,37.27904722,1.86395236,0.00000000
21.00000000,-47.00000000,37.16575827,1.76979801,0.00000000
22.00000000,-47.00000000,37.06760006,1.68489091,0.00000000
23.00000000,-47.00000000,36.98635761,1.60810250,0.00000000
24.00000000,-47.00000000,36.92398306,1.53849929,0.00000000
25.00000000,-47.00000000,36.88260522,1.47530421,0.00000000
26.00000000,-47.00000000,36.86453753,1.41786683,0.00000000
27.00000000,-47.00000000,36.87228377,1.36564014,0.00000000
28.00000000,-47.00000000,36.90854034,1.31816215,0.00000000
29.00000000,-47.00000000,36.97619384,1.27504117,0.00000000
30.00000000,-47.00000000,37.07831250,1.23594375,0.00000000
31.00000000,-47.00000000,37.21812946,1.20058482,0.00000000
32.00000000,-47.00000000,37.39901585,1.16871925,0.00000000
33.00000000,-47.00000000,37.62444141,1.14013459,0.00000000
34.00000000,-47.00000000,37.89792015,1.11464471,0.00000000
35.00000000,-47.00000000,38.22293895,1.09208397,0.00000000
36.00000000,-47.00000000,38.60286722,1.07230187,0.00000000
37.00000000,-47.00000000,39.04084689,1.05515802,0.00000000
38.00000000,-47.00000000,39.53966333,1.04051746,0.00000000
39.00000000,-47.00000000,40.10160017,1.02824616,0.00000000
40.00000000,-47.00000000,40.72828353,1.01820709,0.00000000
0.00000000,-46.00000000,41.44697781,inf,0.00000000
1.00000000,-46.00000000,41.25355770,41.25355770,0.00000000
2.00000000,-46.00000000,41.05972969,20.52986485,0.00000000
3.00000000,-46.00000000,40.86574037,13.62191346,0.00000000
4.00000000,-46.00000000,40.67185599,10.16796400,0.00000000
5.00000000,-46.00000000,40.47836543,8.09567309,0.00000000
6.00000000,-46.00000000,40.28558342,6.71426390,0.00000000
