theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
4.5,3.2,2.53653622,4.85102807,2.96893789
4.5,3.25,2.60055953,4.84762918,3.01743667
4.5,3.3,2.6652242,4.84428586,3.06596827
4.5,3.35,2.73053556,4.84099715,3.11453171
4.5,3.4,2.79649922,4.83776208,3.16312604
4.5,3.45,2.86312106,4.83457969,3.21175034
4.5,3.5,2.93040719,4.83144902,3.26040374
5,1,0.393357238,5.61881576,0.890164317
5,1.05,0.429990315,5.61303814,0.935631528
5,1.1,0.467837275,5.60717915,0.981206336
5,1.15,0.506851183,5.60125452,1.02688819
5,1.2,0.546987672,5.59527895,1.07267622
5,1.25,0.588204973,5.58926612,1.11856929
5,1.3,0.630463907,5.58322868,1.16456602
5,1.35,0.673727857,5.5771783,1.21066483
5,1.4,0.717962716,5.57112567,1.25686398
5,1.45,0.763136814,5.56508057,1.30316156
5,1.5,0.809220833,5.55905186,1.34955556
5,1.55,0.856187718,5.55304756,1.39604387
5,1.6,0.904012574,5.54707491,1.44262433
5,1.65,0.952672562,5.54114036,1.48929469
5,1.7,1.00214679,5.53524969,1.53605269
5,1.75,1.05241623,5.52940801,1.58289605
5,1.8,1.10346357,5.52361981,1.62982246
5,1.85,1.15527314,5.51788903,1.67682964
5,1.9,1.20783084,5.51221909,1.7239153
5,1.95,1.26112399,5.50661294,1.7710772
5,2,1.31514128,5.50107307,1.8183131
5,2.05,1.36987265,5.49560161,1.86562081
5,2.1,1.42530926,5.49020029,1.91299818
5,2.15,1.48144336,5.48487053,1.96044309
5,2.2,1.53826826,5.47961344,2.00795348
5,2.25,1.59577823,5.47442989,2.05552733
5,2.3,1.65396848,5.46932047,2.10316268
5,2.35,1.71283504,5.46428557,2.15085761
5,2.4,1.77237476,5.45932538,2.19861028
5,2.45,1.83258526,5.45443993,2.24641886
5,2.5,1.89346482,5.44962906,2.29428161
5,2.55,1.95501243,5.44489252,2.34219683
5,2.6,2.01722768,5.44022989,2.39016287
5,2.65,2.08011075,5.43564067,2.43817814
5,2.7,2.14366238,5.43112426,2.48624109
5,2.75,2.20788382,5.42667998,2.53435024
5,2.8,2.27277683,5.42230707,2.58250414
5,2.85,2.33834364,5.41800472,2.6307014
