theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1.5,1.85,0.347791336,1.65598206,1.67578467
1.5,1.9,0.363605871,1.65426715,1.72285983
1.5,1.95,0.379641589,1.65257176,1.77001175
1.5,2,0.395895124,1.65089664,1.81723819
1.5,2.05,0.412363486,1.64924242,1.86453692
1.5,2.1,0.429044047,1.64760961,1.91190577
1.5,2.15,0.445934514,1.64599863,1.95934259
1.5,2.2,0.463032904,1.6444098,2.0068453
1.5,2.25,0.480337531,1.64284339,2.05441185
1.5,2.3,0.497846982,1.64129954,2.10204028
1.5,2.35,0.515560101,1.63977839,2.14972863
1.5,2.4,0.533475973,1.63827996,2.19747504
1.5,2.45,0.551593908,1.63680427,2.24527767
1.5,2.5,0.569913429,1.63535125,2.29313477
1.5,2.55,0.588434258,1.63392082,2.3410446
1.5,2.6,0.607156305,1.63251284,2.38900552
1.5,2.65,0.626079655,1.63112716,2.43701592
1.5,2.7,0.64520456,1.62976359,2.48507424
1.5,2.75,0.664531429,1.62842191,2.53317897
1.5,2.8,0.684060822,1.6271019,2.58132866
1.5,2.85,0.703793437,1.62580328,2.62952191
1.5,2.9,0.723730108,1.62452581,2.67775736
1.5,2.95,0.743871795,1.62326919,2.72603369
1.5,3,0.764219582,1.62203313,2.77434966
1.5,3.05,0.784774667,1.62081732,2.82270403
1.5,3.1,0.805538361,1.61962147,2.87109562
1.5,3.15,0.82651208,1.61844525,2.9195233
1.5,3.2,0.847697345,1.61728834,2.96798598
1.5,3.25,0.869095775,1.61615042,3.01648258
1.5,3.3,0.890709084,1.61503116,3.0650121
1.5,3.35,0.912539082,1.61393024,3.11357355
1.5,3.4,0.934587665,1.61284733,3.16216598
1.5,3.45,0.95685682,1.61178211,3.21078846
1.5,3.5,0.979348618,1.61073424,3.25944012
1.5,3.55,1.00206522,1.60970341,3.30812011
1.5,3.6,1.02500885,1.6086893,3.35682759
1.5,3.65,1.04818184,1.60769159,3.40556177
1.5,3.7,1.07158658,1.60670997,3.45432189
1.5,3.75,1.09522555,1.60574412,3.50310721
1.5,3.8,1.11910131,1.60479374,3.551917
1.5,3.85,1.14321648,1.60385852,3.60075059
1.5,3.9,1.16757377,1.60293818,3.6496073
1.5,3.95,1.19217596,1.6020324,3.6984865
1.5,4,1.21702592,1.60114092,3.74738755
1.5,4.05,1.24212657,1.60026344,3.79630986
1.5,4.1,1.26748092,1.59939969,3.84525285
1.5,4.15,1.29309207,1.59854938,3.89421596
1.5,4.2,1.31896316,1.59771226,3.94319865
1.5,4.25,1.34509744,1.59688806,3.99220039
